Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,6159.500000,6181.000000,6031.500000,6040.000000,5476.688477,912501
2019-12-04,6051.500000,6106.500000,6025.500000,6073.000000,5506.610840,682503
2019-12-05,6082.000000,6128.500000,6054.500000,6121.500000,5550.587891,667172
2019-12-06,6126.000000,6220.000000,6112.500000,6220.000000,5639.901367,714458
2019-12-09,6236.000000,6254.500000,6182.000000,6182.000000,5605.445313,774803
2019-12-10,6176.000000,6191.500000,6090.000000,6095.000000,5526.559082,844629
2019-12-11,6088.500000,6169.000000,6080.000000,6110.000000,5540.160645,917654
2019-12-12,6152.000000,6165.000000,6100.000000,6136.000000,5563.735352,1810421
2019-12-13,6164.500000,6197.000000,6145.000000,6168.000000,5592.750977,1142550
2019-12-16,6170.000000,6212.500000,6170.000000,6190.000000,5612.699219,704074
2019-12-17,6193.000000,6238.500000,6187.500000,6226.000000,5645.341797,876963
2019-12-18,6227.000000,6258.500000,6224.500000,6250.500000,5667.556641,1007116
2019-12-19,6090.000000,6150.000000,6048.500000,6079.000000,5686.733887,1621057
2019-12-20,6090.000000,6097.000000,6046.000000,6079.500000,5687.201660,2327379
2019-12-23,6075.500000,6095.000000,6068.500000,6082.000000,5689.540527,770139
2019-12-24,6084.500000,6084.500000,6050.000000,6080.500000,5688.137207,375764
2019-12-25,6082.500000,6089.500000,6073.000000,6081.000000,5688.604980,237221
2019-12-26,6080.000000,6090.000000,6076.000000,6085.000000,5692.346680,252225
2019-12-27,6091.000000,6155.000000,6086.500000,6150.000000,5753.152344,459574
2019-12-30,6153.000000,6174.500000,6144.000000,6169.000000,5770.926270,397600
2020-01-03,6203.500000,6294.000000,6185.000000,6294.000000,5887.860352,795869
2020-01-06,6331.000000,6382.000000,6291.000000,6382.000000,5970.182129,754518
2020-01-08,6400.000000,6513.000000,6350.500000,6496.500000,6077.293457,976346
2020-01-09,6450.000000,6523.500000,6393.500000,6430.000000,6015.084473,885962
2020-01-10,6430.500000,6505.000000,6395.000000,6490.000000,6071.212891,499118
2020-01-13,6492.000000,6541.500000,6465.000000,6530.000000,6108.631836,578058
2020-01-14,6541.500000,6566.500000,6459.500000,6520.500000,6099.744629,719815
2020-01-15,6519.000000,6574.000000,6480.000000,6552.500000,6129.680176,1055275
2020-01-16,6558.000000,6596.000000,6542.000000,6590.000000,6164.760254,1021851
2020-01-17,6590.000000,6714.500000,6581.000000,6685.000000,6253.629883,1209943
2020-01-20,6700.000000,6770.000000,6684.500000,6717.000000,6283.564941,446766
2020-01-21,6689.000000,6716.000000,6611.000000,6708.500000,6275.613770,548726
2020-01-22,6719.000000,6810.000000,6655.500000,6655.500000,6226.033691,868110
2020-01-23,6611.000000,6633.500000,6536.500000,6590.000000,6164.760254,1219853
2020-01-24,6604.000000,6650.000000,6592.500000,6620.000000,6192.824219,507801
2020-01-27,6540.000000,6569.500000,6413.000000,6545.000000,6122.664063,1078056
2020-01-28,6565.000000,6657.000000,6503.500000,6650.000000,6220.888672,770628
2020-01-29,6695.500000,6726.000000,6601.500000,6633.000000,6204.985352,948595
2020-01-30,6499.000000,6535.000000,6415.000000,6443.500000,6027.713379,1606076
2020-01-31,6635.000000,6670.000000,6540.500000,6550.500000,6127.809082,1766739
2020-02-03,6517.000000,6600.000000,6517.000000,6594.500000,6168.969727,2677679
2020-02-04,6602.500000,6633.000000,6490.000000,6500.000000,6080.567871,1671202
2020-02-05,6517.500000,6595.000000,6452.000000,6550.500000,6127.809082,1105363
2020-02-06,6587.500000,6605.000000,6501.000000,6506.500000,6086.648438,686416
2020-02-07,6506.500000,6529.000000,6405.000000,6450.500000,6034.261719,946056
2020-02-10,6450.500000,6451.500000,6350.000000,6410.000000,5996.375000,958337
2020-02-11,6423.000000,6441.500000,6324.500000,6397.500000,5984.681641,1293541
2020-02-12,6397.000000,6466.000000,6384.500000,6466.000000,6048.761719,950696
2020-02-13,6455.000000,6500.000000,6388.000000,6470.500000,6052.971191,713241
2020-02-14,6486.000000,6498.000000,6410.000000,6451.000000,6034.729492,484610
2020-02-17,6439.000000,6483.500000,6431.000000,6463.000000,6045.955078,350713
2020-02-18,6441.000000,6442.000000,6350.500000,6378.500000,5966.907715,715980
2020-02-19,6407.000000,6516.000000,6405.000000,6509.000000,6088.986816,636803
2020-02-20,6522.000000,6560.000000,6492.500000,6543.500000,6121.260742,741578
2020-02-21,6519.000000,6527.500000,6450.000000,6450.000000,6033.793945,613524
2020-02-25,6300.000000,6348.500000,6150.500000,6165.000000,5767.184570,1443783
2020-02-26,6150.000000,6268.000000,6105.500000,6256.500000,5852.780273,1646844
2020-02-27,6140.000000,6186.000000,6000.000000,6000.000000,5612.831543,1509934
2020-02-28,5840.000000,5870.000000,5607.000000,5699.500000,5331.722168,3136177
2020-03-02,5815.000000,5897.500000,5540.000000,5550.000000,5191.869141,2913732
2020-03-03,5700.000000,5900.000000,5661.000000,5782.000000,5408.898926,1955344
2020-03-04,5740.500000,5928.500000,5701.500000,5908.500000,5527.235840,1604421
2020-03-05,5980.000000,5996.000000,5830.000000,5862.500000,5484.204102,1533383
2020-03-06,5744.500000,5775.000000,5534.500000,5592.000000,5231.159180,2270105
2020-03-10,5033.000000,5083.000000,4450.000000,4549.000000,4255.461914,7526760
2020-03-11,4651.000000,4988.000000,4520.000000,4908.000000,4591.296387,4816839
2020-03-12,4625.000000,4745.500000,4487.500000,4511.500000,4220.381836,3688507
2020-03-13,4500.000000,4760.000000,4414.000000,4414.000000,4129.173340,3674347
2020-03-16,4414.000000,4414.000000,4414.000000,4414.000000,4129.173340,0
2020-03-17,4215.000000,4326.500000,4030.000000,4168.500000,3899.514893,2247349
2020-03-18,4050.500000,4145.000000,3744.000000,3754.000000,3511.761719,3646288
2020-03-19,3830.000000,4484.500000,3663.000000,4333.000000,4053.399902,4777045
2020-03-20,4501.000000,4745.000000,4408.000000,4472.500000,4183.898438,5026033
2020-03-23,4250.000000,4409.000000,4122.000000,4175.500000,3906.063232,3410036
2020-03-24,4500.000000,4550.000000,4362.500000,4494.000000,4204.010742,2409326
2020-03-25,4596.000000,4725.000000,4400.000000,4590.000000,4293.816406,2900489
2020-03-26,4555.000000,4700.000000,4484.500000,4700.000000,4396.718262,2001929
2020-03-27,4699.000000,4745.000000,4401.500000,4430.000000,4144.140625,2095726
2020-03-30,4355.000000,4459.000000,4313.000000,4459.000000,4171.269531,1725236
2020-03-31,4550.000000,4715.000000,4501.000000,4715.000000,4410.750488,2433310
2020-04-01,4596.000000,4734.500000,4564.000000,4674.500000,4372.863770,1919728
2020-04-02,4865.000000,5229.500000,4787.500000,5050.000000,4724.133301,3860103
